date, pm25, pm10, o3, no2, co
2023/3/20, 37, 16, 27, 7, 2
2023/3/21, 38, 14, 24, 6, 2
2023/3/22, 21, 12, 34, 4, 2
2023/3/23, 27, 16, 33, 3, 2
2023/3/24, 23, 18, 33, 3, 2
2023/3/25, 38, 19, 32, 5, 2
2023/3/26, 33, 14, 30, 6, 1
2023/3/27, 28, 13, 29, 10, 1
2023/3/28, 30, 12, 25, 8, 2
2023/3/29, 43, 16, 36, 4, 2
2023/3/30, 43, 6, 27, 4, 2
2023/3/31, 21, 5, 21, 6, 2
2022/10/1, 24, 11, 21, 4, 
2022/10/2, 17, 13, 15, 8, 1
2022/10/3, 17, 16, 18, 9, 1
2022/10/4, 41, 9, 25, 4, 
2022/10/5, 14, 13, 23, 4, 
2022/10/6, 17, 18, 20, 8, 
2022/10/7, 25, 10, 20, 3, 
2022/10/8, 20, 14, 20, 7, 1
2022/10/9, 30, 14, 12, 10, 1
2022/10/10, 29, 15, 18, 9, 1
2022/10/11, 25, 20, 13, 13, 2
2022/10/12, 42, 14, 14, 12, 1
2022/10/13, 42, 12, 13, 10, 1
2022/10/14, 34, 15, 21, 7, 1
2022/10/15, 42, 11, 23, 4, 1
2022/10/16, 18, 12, 9, 9, 1
2022/10/17, 32, 17, 18, 9, 1
2022/10/18, 27, 13, 23, 6, 1
2022/10/19, 17, 16, 13, 8, 1
2022/10/20, 40, 16, 12, 8, 1
2022/10/21, 38, 15, 22, 5, 
2022/10/22, 28, 16, 14, 7, 1
2022/10/23, 28, 11, 28, 4, 
2022/10/24, 18, 12, 18, 6, 1
2022/10/25, 24, 13, 18, 7, 1
2022/10/26, 25, 14, 12, 8, 1
2022/10/27, 28, 23, 22, 8, 1
2022/10/28, 47, 21, 8, 9, 1
2022/10/29, 47, 23, 9, 10, 1
2022/10/30, 51, 20, 7, 11, 1
2022/10/31, 47, 15, 23, 3, 
2022/11/1, 30, 12, 22, 3, 
2022/11/2, 26, 11, 26, 4, 1
2022/11/3, 20, 9, 22, 11, 2
2022/11/4, 17, 10, 13, 8, 1
2022/11/5, 26, 9, 16, 3, 1
2022/11/6, 21, 10, 19, 5, 1
2022/11/7, 28, 9, 21, 4, 1
2022/11/8, 28, 9, 21, 5, 1
2022/11/9, 31, 14, 16, 9, 1
2022/11/10, 28, 18, 12, 9, 1
2022/11/11, 49, 22, 9, 12, 2
2022/11/12, 65, 21, 9, 12, 3
2022/11/13, 63, 26, 4, 11, 2
2022/11/14, 71, 17, 18, 7, 1
2022/11/15, 46, 10, 15, 6, 
2022/11/16, 28, 6, 21, 4, 1
2022/11/17, 20, 10, 15, 7, 
2022/11/18, 29, 12, 13, 4, 1
2022/11/19, 39, 20, 1, 12, 2
2022/11/20, 62, 17, 11, 12, 2
2022/11/21, 51, 9, 16, 5, 1
2022/11/22, 20, 12, 17, 6, 1
2022/11/23, 30, 14, 19, 8, 1
2022/11/24, 30, 13, 16, 9, 1
2022/11/25, 31, 20, 9, 13, 2
2022/11/26, 42, 11, 14, 3, 1
2022/11/27, 22, 16, 8, 14, 2
2022/11/28, 51, 18, 3, 22, 2
2022/11/29, 48, 19, 3, 10, 2
2022/11/30, 54, 30, 10, 10, 2
2022/12/1, 78, 30, 16, 6, 1
2022/12/2, 81, 25, 15, 4, 1
2022/12/3, 69, 26, 7, 5, 1
2022/12/4, 75, 13, 8, 6, 2
2022/12/5, 38, 11, 7, 14, 2
2022/12/6, 26, 10, 17, 12, 1
2022/12/7, 11, 9, 18, 11, 
2022/12/8, 20, 20, 11, 16, 1
2022/12/9, 58, 30, 2, 18, 1
2022/12/10, 76, 24, 17, 6, 
2022/12/11, 66, 26, 8, 13, 1
2022/12/12, 76, 30, 1, 20, 2
2022/12/13, 78, 26, 4, 20, 2
2022/12/14, 66, 18, 6, 24, 2
2022/12/15, 45, 18, 15, 18, 1
2022/12/16, 35, 38, 7, 12, 1
2022/12/17, 99, 31, 8, 13, 1
2022/12/18, 80, 14, 11, 8, 1
2022/12/19, 45, 11, 13, 9, 1
2022/12/20, 30, 14, 14, 15, 1
2022/12/21, 41, 15, 15, 12, 2
2022/12/22, 45, 11, 21, 13, 1
2022/12/23, 45, 25, 22, 6, 
2022/12/24, 46, 14, 14, 6, 1
2022/12/25, 45, 12, 26, 4, 
2022/12/26, 26, 14, 27, 6, 
2022/12/27, 19, 8, 22, 3, 1
2022/12/28, 27, 12, 27, 5, 1
2022/12/29, 21, 11, 24, 4, 1
2022/12/30, 24, 9, 25, 4, 
2022/12/31, 28, 20, 26, 3, 
2023/1/1, 57, 9, 25, 5, 
2022/7/1, 21, 11, 36, 4, 1
2022/7/2, 22, 8, 27, 3, 1
2022/7/3, 22, 9, 28, 5, 1
2022/7/4, 20, 10, 25, 4, 1
2022/7/5, 22, 10, 28, 4, 1
2022/7/6, 17, 12, 20, 4, 1
2022/7/7, 27, 16, 27, 6, 1
2022/7/8, 27, 11, 21, 3, 1
2022/7/9, 26, 12, 26, 3, 1
2022/7/10, 24, 8, 20, 3, 1
2022/7/11, 15, 14, 38, 6, 1
2022/7/12, 36, 16, 36, 7, 2
2022/7/13, 41, 14, 23, 6, 1
2022/7/14, 21, 11, 26, 4, 1
2022/7/15, 15, 10, 27, 3, 1
2022/7/16, 15, 11, 35, 4, 1
2022/7/17, 21, 24, 76, 7, 2
2022/7/18, 44, 30, 94, 7, 2
2022/7/19, 58, 29, 44, 4, 1
2022/7/20, 63, 14, 30, 5, 1
2022/7/21, 46, 10, 22, 3, 
2022/7/22, 15, 12, 37, 8, 
2022/7/23, 23, 13, 42, 4, 1
2022/7/24, 42, 16, 27, 5, 1
2022/7/25, 40, 12, 24, 3, 1
2022/7/26, 20, 8, 25, 3, 1
2022/7/27, 13, 9, 32, 1, 1
2022/7/28, 15, 14, 36, 4, 1
2022/7/29, 31, 15, 37, 5, 1
2022/7/30, 28, 12, 21, 5, 1
2022/7/31, 32, 10, 27, 3, 1
2022/8/1, 22, 12, 26, 4, 1
2022/8/2, 31, 19, 21, 4, 1
2022/8/3, 42, 13, 31, 7, 2
2022/8/4, 38, 11, 25, 3, 1
2022/8/5, 20, 8, 28, 4, 1
2022/8/6, 14, 15, 31, 8, 1
2022/8/7, 31, 13, 26, 5, 1
2022/8/8, 30, 9, 26, 3, 1
2022/8/9, 22, 11, 39, 3, 1
2022/8/10, 28, 16, 48, 6, 2
2022/8/11, 40, 19, 57, 7, 2
2022/8/12, 49, 24, 56, 6, 2
2022/8/13, 45, 19, 59, 5, 2
2022/8/14, 57, 19, 48, 7, 2
2022/8/15, 53, 26, 54, 6, 2
2022/8/16, 68, 18, 36, 7, 2
2022/8/17, 60, 10, 37, 5, 2
2022/8/18, 31, 13, 22, 6, 1
2022/8/19, 35, 14, 31, 5, 1
2022/8/20, 31, 14, 29, 5, 1
2022/8/21, 29, 15, 40, 3, 1
2022/8/22, 23, 16, 34, 6, 1
2022/8/23, 38, 11, 28, 6, 2
2022/8/24, 38, 20, 61, 7, 2
2022/8/25, 57, 10, 29, 4, 1
2022/8/26, 23, 10, 27, 5, 1
2022/8/27, 18, 10, 27, 3, 1
2022/8/28, 16, 12, 29, 5, 1
2022/8/29, 20, 10, 28, 2, 1
2022/8/30, 24, 11, 32, 6, 1
2022/8/31, 16, 11, 34, 6, 1
2022/9/1, 28, 17, 41, 5, 1
2022/9/2, 24, 18, 45, 5, 1
2022/9/3, 34, 21, 44, 7, 2
2022/9/4, 54, 20, 45, 8, 1
2022/9/5, 33, 11, 32, 6, 1
2022/9/6, 28, 10, 30, 5, 1
2022/9/7, 25, 10, 23, 6, 1
2022/9/8, 30, 8, 18, 5, 1
2022/9/9, 22, 9, 28, 4, 1
2022/9/10, 30, 13, 31, 8, 1
2022/9/11, 46, 14, 38, 7, 1
2022/9/12, 47, 12, 26, 7, 1
2022/9/13, 35, 10, 26, 5, 
2022/9/14, 17, 10, 23, 5, 
2022/9/15, 14, 9, 22, 4, 
2022/9/16, 14, 11, 22, 3, 
2022/9/17, 13, 9, 19, 5, 1
2022/9/18, 10, 12, 21, 6, 1
2022/9/19, 14, 10, 23, 6, 1
2022/9/20, 17, 14, 25, 9, 2
2022/9/21, 24, 18, 27, 10, 2
2022/9/22, 43, 17, 18, 14, 1
2022/9/23, 53, 11, 20, 4, 1
2022/9/24, 31, 9, 19, 7, 1
2022/9/25, 12, 8, 18, 7, 1
2022/9/26, 16, 6, 17, 7, 1
2022/9/27, 11, 6, 14, 8, 1
2022/9/28, 17, 11, 12, 10, 1
2022/9/29, 33, 12, 20, 9, 2
2022/9/30, 38, 11, 23, 3, 1
2022/4/1, 14, 8, 36, 6, 2
2022/4/2, 21, 9, 34, 9, 2
2022/4/3, 25, 10, 30, 6, 2
2022/4/4, 27, 7, 22, 6, 2
2022/4/5, 27, 9, 29, 6, 2
2022/4/6, 26, 11, 33, 3, 2
2022/4/7, 28, 12, 30, 4, 2
2022/4/8, 27, 12, 32, 5, 2
2022/4/9, 24, 10, 35, 4, 2
2022/4/11, 53, 15, 39, 7, 2
2022/4/12, 44, 14, 29, 9, 2
2022/4/13, 35, 14, 32, 12, 2
2022/4/14, 45, 11, 32, 4, 2
2022/4/15, 34, 13, 34, 3, 2
2022/4/16, 40, 13, 37, 4, 2
2022/4/17, 38, 17, 39, 5, 2
2022/4/18, 47, 16, 35, 10, 3
2022/4/19, 49, 13, 36, 7, 2
2022/4/20, 33, 14, 37, 6, 2
2022/4/21, 34, 17, 35, 4, 2
2022/4/22, 37, 19, 35, 3, 2
2022/4/23, 50, 13, 34, 3, 2
2022/4/24, 39, 15, 31, 5, 1
2022/4/25, 41, 11, 36, 4, 1
2022/4/26, 23, 12, 35, 7, 2
2022/4/27, 28, 15, 36, 5, 1
2022/4/28, 37, 13, 34, 4, 2
2022/4/29, 22, 12, 32, 6, 2
2022/4/30, 30, 15, 36, 9, 2
2022/5/1, 41, 14, 37, 6, 2
2022/5/2, 34, 20, 33, 10, 2
2022/5/3, 52, 18, 30, 11, 2
2022/5/4, 33, 24, 23, 16, 3
2022/5/5, 60, 16, 37, 10, 2
2022/5/6, 46, 19, 27, 8, 1
2022/5/7, 51, 13, 36, 2, 1
2022/5/8, 27, 24, 40, 6, 1
2022/5/9, 38, 23, 31, 7, 1
2022/5/10, 42, 17, 31, 4, 1
2022/5/11, 35, 10, 30, 3, 1
2022/5/12, 18, 13, 35, 3, 1
2022/5/13, 30, 22, 38, 5, 1
2022/5/14, 42, 22, 45, 4, 1
2022/5/15, 52, 18, 33, 5, 2
2022/5/16, 45, 13, 34, 8, 1
2022/5/17, 33, 18, 35, 9, 3
2022/5/18, 55, 15, 28, 7, 2
2022/5/19, 50, 15, 28, 9, 2
2022/5/20, 43, 14, 26, 3, 1
2022/5/21, 35, 12, 40, 5, 1
2022/5/22, 34, 14, 28, 8, 1
2022/5/23, 41, 8, 30, 4, 1
2022/5/24, 22, 12, 28, 6, 1
2022/5/25, 28, 14, 28, 3, 1
2022/5/26, 30, 13, 30, 2, 1
2022/5/27, 28, 10, 28, 3, 1
2022/5/28, 22, 8, 27, 3, 1
2022/5/29, 24, 7, 27, 6, 1
2022/5/30, 19, 10, 31, 6, 1
2022/5/31, 31, 7, 32, 5, 1
2022/6/1, 25, 9, 34, 7, 1
2022/6/2, 30, 11, 41, 4, 1
2022/6/3, 28, 9, 34, 2, 1
2022/6/4, 24, 13, 24, 6, 1
2022/6/5, 52, 8, 27, 2, 1
2022/6/6, 29, 13, 34, 3, 1
2022/6/7, 30, 14, 24, 5, 1
2022/6/9, 34, 13, 23, 5, 1
2022/6/10, 30, 16, 29, 3, 1
2022/6/11, 35, 15, 29, 3, 1
2022/6/12, 27, 16, 27, 5, 1
2022/6/13, 27, 14, 38, 5, 1
2022/6/14, 31, 14, 42, 3, 1
2022/6/15, 35, 15, 54, 3, 1
2022/6/16, 31, 23, 71, 5, 2
2022/6/17, 51, 20, 40, 5, 2
2022/6/18, 49, 11, 26, 2, 1
2022/6/19, 26, 13, 26, 3, 1
2022/6/20, 21, 15, 31, 4, 1
2022/6/21, 30, 13, 35, 5, 1
2022/6/22, 33, 20, 60, 4, 2
2022/6/23, 48, 14, 34, 8, 2
2022/6/24, 44, 11, 23, 5, 1
2022/6/25, 39, 12, 29, 3, 1
2022/6/26, 39, 12, 22, 7, 1
2022/6/27, 32, 13, 40, 4, 1
2022/6/28, 28, 15, 42, 6, 1
2022/6/29, 37, 15, 30, 6, 2
2022/6/30, 37, 9, 24, 5, 1
2022/1/3, 35, 13, 24, 8, 2
2022/1/4, 21, 16, 23, 4, 2
2022/1/5, 28, 14, 20, 11, 2
2022/1/6, 27, 13, 24, 7, 2
2022/1/7, 27, 9, 22, 7, 2
2022/1/8, 21, 16, 27, 6, 2
2022/1/9, 28, 24, 1, 21, 3
2022/1/10, 64, 23, 8, 15, 2
2022/1/11, 63, 16, 2, 23, 3
2022/1/12, 49, 15, 4, 20, 2
2022/1/13, 42, 16, 19, 15, 3
2022/1/14, 43, 17, 11, 12, 3
2022/1/15, 50, 28, 23, 12, 3
2022/1/16, 70, 22, 26, 8, 2
2022/1/17, 36, 15, 13, 16, 3
2022/1/18, 33, 24, 25, 13, 2
2022/1/19, 52, 15, 29, 6, 2
2022/1/20, 23, 15, 24, 10, 2
2022/1/21, 23, 12, 22, 7, 3
2022/1/22, 23, 14, 23, 8, 2
2022/1/23, 36, 24, 21, 6, 2
2022/1/24, 82, 28, 16, 7, 2
2022/1/25, 82, 30, 18, 11, 2
2022/1/26, 78, 18, 26, 7, 2
2022/1/27, 44, 16, 25, 10, 2
2022/1/28, 29, 16, 30, 4, 2
2022/1/29, 35, 26, 29, 5, 2
2022/1/30, 39, 21, 30, 4, 2
2022/1/31, 42, 17, 28, 5, 2
2022/2/1, 31, 22, 26, 9, 2
2022/2/2, 47, 10, 19, 10, 2
2022/2/3, 23, 9, 28, 7, 2
2022/2/4, 26, 14, 30, 4, 1
2022/2/5, 26, 13, 32, 3, 2
2022/2/6, 26, 17, 28, 7, 2
2022/2/7, 32, 11, 28, 6, 2
2022/2/8, 29, 10, 24, 7, 2
2022/2/9, 28, 12, 25, 9, 2
2022/2/10, 32, 15, 28, 9, 2
2022/2/11, 27, 18, 23, 11, 2
2022/2/12, 44, 13, 27, 5, 2
2022/2/13, 47, 10, 30, 5, 2
2022/2/14, 27, 9, 27, 5, 2
2022/2/15, 27, 10, 26, 4, 2
2022/2/16, 27, 16, 32, 3, 2
2022/2/17, 35, 17, 32, 4, 2
2022/2/18, 34, 13, 31, 2, 1
2022/2/19, 26, 12, 38, 3, 2
2022/2/20, 32, 19, 33, 3, 2
2022/2/21, 34, 21, 31, 8, 2
2022/2/22, 39, 16, 30, 8, 2
2022/2/23, 35, 10, 28, 6, 2
2022/2/24, 21, 16, 28, 6, 2
2022/2/25, 28, 17, 28, 12, 2
2022/2/26, 35, 16, 27, 6, 2
2022/2/27, 42, 15, 24, 9, 2
2022/2/28, 43, 27, 11, 18, 3
2022/3/1, 77, 31, 19, 13, 3
2022/3/2, 85, 24, 26, 12, 3
2022/3/3, 68, 21, 22, 9, 2
2022/3/4, 63, 23, 19, 7, 2
2022/3/5, 73, 13, 30, 5, 2
2022/3/6, 41, 13, 30, 6, 2
2022/3/7, 36, 17, 29, 7, 2
2022/3/8, 46, 27, 30, 11, 2
2022/3/9, 71, 31, 34, 13, 2
2022/3/10, 79, 24, 31, 8, 2
2022/3/11, 60, 15, 31, 4, 2
2022/3/12, 47, 13, 34, 4, 2
2022/3/13, 46, 11, 29, 6, 2
2022/3/14, 34, 20, 25, 14, 3
2022/3/15, 53, 20, 25, 9, 2
2022/3/16, 61, 14, 28, 6, 2
2022/3/17, 35, 21, 30, 15, 2
2022/3/18, 48, 14, 29, 4, 2
2022/3/19, 34, 26, 30, 5, 2
2022/3/20, 73, 36, 35, 10, 3
2022/3/21, 96, 39, 32, 17, 4
2022/3/22, 92, 46, 38, 16, 3
2022/3/23, 96, 45, 41, 15, 3
2022/3/24, 99, 47, 42, 9, 2
2022/3/25, 110, 37, 46, 8, 2
2022/3/26, 96, 15, 34, 4, 2
2022/3/27, 29, 15, 25, 7, 2
2022/3/28, 41, 23, 38, 4, 2
2022/3/29, 66, 14, 32, 5, 2
2022/3/30, 32, 5, 30, 6, 1
2022/3/31, 14, 6, 33, 3, 2
2021/12/6, 62, 18, 15, 6, 2
2021/12/7, 21, 10, 22, 10, 2
2021/12/8, 22, 9, 22, 6, 2
2021/12/9, 46, 16, 12, 12, 2
2021/12/10, 37, 15, 16, 11, 2
2021/12/11, 50, 19, 12, 15, 3
2021/12/12, 39, 14, 13, 10, 3
2021/12/13, 36, 13, 16, 14, 2
2021/12/14, 45, 14, 8, 14, 3
2021/12/15, 38, 14, 17, 12, 2
2021/12/16, 44, 17, 3, 15, 3
2021/12/17, 27, 11, 18, 11, 2
2021/12/18, 18, 5, 21, 7, 2
2021/12/19, 18, 9, 22, 6, 2
2021/12/20, 26, 17, 26, 9, 2
2021/12/21, 45, 20, 8, 18, 3
2021/12/22, 76, 29, 1, 21, 4
2021/12/23, 85, 30, 2, 15, 3
2021/12/24, 28, 12, 18, 8, 3
2021/12/25, 21, 8, 24, 3, 2
2021/12/26, 36, 11, 19, 7, 2
2021/12/27, 53, 15, 8, 12, 3
2021/12/28, 25, 10, 25, 4, 2
2021/12/29, 23, 11, 22, 7, 3
2021/12/30, 32, 12, 20, 4, 1
2021/12/31, 31, 11, 20, 4, 2
2022/1/1, 69, 26, 13, 6, 2
2022/1/2, 30, 11, 17, 5, 2
2021/7/1, 43, 9, 31, 4, 2
2021/7/2, 36, 16, 40, 5, 2
2021/7/3, 53, 8, 19, 5, 2
2021/7/4, 38, 9, 24, 4, 2
2021/7/5, 26, 10, 26, 3, 2
2021/7/6, 26, 10, 26, 4, 2
2021/7/7, 31, 8, 30, 6, 2
2021/7/8, 33, 12, 28, 5, 2
2021/7/9, 45, 19, 32, 7, 2
2021/7/10, 65, 14, 30, 7, 2
2021/7/11, 58, 14, 35, 5, 2
2021/7/12, 59, 18, 30, 4, 2
2021/7/13, 66, 15, 33, 4, 2
2021/7/14, 50, 17, 29, 3, 2
2021/7/15, 49, 23, 23, 3, 1
2021/7/16, 44, 14, 24, 3, 1
2021/7/17, 33, 8, 22, 6, 2
2021/7/18, 27, 10, 27, 3, 1
2021/7/19, 27, 11, 33, 3, 1
2021/7/20, 37, 14, 37, 7, 2
2021/7/21, 45, 13, 32, 4, 2
2021/7/22, 38, 10, 27, 2, 2
2021/7/23, 29, 17, 27, 4, 2
2021/7/24, 54, 21, 31, 8, 2
2021/7/25, 73, 14, 29, 9, 2
2021/7/26, 46, 16, 29, 6, 2
2021/7/27, 49, 13, 23, 5, 1
2021/7/28, 38, 11, 26, 5, 1
2021/7/29, 26, 12, 24, 5, 1
2021/7/30, 32, 13, 30, 7, 1
2021/7/31, 20, 14, 25, 10, 
2021/8/2, 40, 7, 32, 4, 1
2021/8/3, 14, 7, 35, 4, 1
2021/8/4, 29, 11, 46, 4, 2
2021/8/5, 43, 9, 26, 3, 3
2021/8/6, 30, 7, 24, 2, 2
2021/8/7, 18, 11, 25, 2, 2
2021/8/8, 28, 12, 20, 3, 2
2021/8/9, 25, 10, 25, 3, 3
2021/8/10, 28, 11, 31, 7, 3
2021/8/11, 37, 11, 22, 7, 3
2021/8/12, 39, 14, 24, 6, 3
2021/8/13, 38, 16, 24, 5, 2
2021/8/14, 38, 10, 29, 7, 2
2021/8/15, 31, 15, 27, 2, 2
2021/8/16, 27, 9, 27, 3, 2
2021/8/17, 19, 6, 25, 2, 2
2021/8/18, 16, 9, 23, 5, 3
2021/8/19, 29, 10, 25, 6, 3
2021/8/20, 34, 11, 29, 5, 3
2021/8/21, 50, 8, 24, 5, 3
2021/8/22, 34, 8, 32, 3, 2
2021/8/23, 21, 9, 32, 2, 2
2021/8/24, 24, 8, 28, 4, 2
2021/8/25, 29, 11, 23, 4, 2
2021/8/26, 21, 10, 23, 5, 3
2021/8/27, 20, 11, 25, 3, 3
2021/8/28, 31, 11, 25, 4, 3
2021/8/29, 28, 16, 28, 5, 3
2021/8/30, 43, 16, 27, 5, 3
2021/8/31, 34, 13, 28, 5, 2
2021/9/1, 33, 14, 30, 5, 3
2021/9/2, 41, 19, 31, 11, 3
2021/9/3, 46, 18, 31, 9, 
2021/9/5, 49, 17, 33, 11, 3
2021/9/6, 55, 20, 51, 8, 3
2021/9/7, 61, 18, 52, 7, 3
2021/9/8, 58, 18, 36, 7, 3
2021/9/9, 47, 12, 24, 9, 3
2021/9/10, 42, 11, 25, 4, 3
2021/9/11, 37, 12, 27, 5, 3
2021/9/12, 27, 6, 31, 5, 3
2021/9/13, 19, 12, 30, 6, 3
2021/9/14, 36, 14, 29, 6, 3
2021/9/15, 42, 9, 35, 3, 2
2021/9/16, 26, 22, 26, 11, 3
2021/9/17, 63, 12, 32, 8, 4
2021/9/18, 46, 7, 23, 3, 3
2021/9/19, 32, 9, 28, 3, 2
2021/9/20, 26, 11, 30, 9, 3
2021/9/21, 27, 19, 31, 11, 3
2021/9/22, 51, 21, 26, 8, 3
2021/9/23, 49, 12, 31, 8, 2
2021/9/24, 21, 25, 20, 9, 3
2021/9/25, 54, 17, 31, 7, 3
2021/9/26, 60, 12, 24, 4, 2
2021/9/27, 41, 12, 26, 7, 2
2021/9/28, 21, 9, 24, 5, 2
2021/4/1, 66, 15, 31, 6, 1
2021/4/2, 26, 24, 37, 3, 1
2021/4/3, 37, 16, 35, 3, 1
2021/4/4, 24, 14, 32, 3, 1
2021/4/5, 29, 10, 30, 5, 1
2021/4/6, 17, 13, 29, 5, 1
2021/4/7, 24, 11, 33, 7, 1
2021/4/8, 19, 16, 30, 9, 1
2021/4/9, 36, 8, 32, 4, 1
2021/4/10, 18, 5, 33, 4, 1
2021/4/11, 11, 8, 33, 6, 1
2021/4/12, 13, 11, 33, 6, 1
2021/4/13, 16, 11, 33, 10, 1
2021/4/14, 22, 11, 36, 7, 1
2021/4/15, 22, 14, 36, 9, 2
2021/4/16, 27, 17, 35, 7, 2
2021/4/17, 33, 18, 33, 10, 2
2021/4/18, 45, 22, 36, 8, 2
2021/4/19, 63, 23, 38, 9, 2
2021/4/20, 70, 28, 36, 10, 2
2021/4/21, 65, 19, 32, 5, 2
2021/4/22, 29, 17, 38, 8, 2
2021/4/23, 34, 10, 36, 3, 2
2021/4/24, 20, 12, 35, 3, 2
2021/4/25, 21, 9, 37, 3, 2
2021/4/26, 17, 13, 40, 4, 2
2021/4/27, 34, 19, 39, 6, 2
2021/4/28, 47, 18, 34, 7, 2
2021/4/29, 54, 22, 29, 11, 2
2021/4/30, 48, 11, 39, 5, 2
2021/5/1, 31, 9, 32, 5, 2
2021/5/2, 18, 16, 37, 6, 2
2021/5/3, 48, 10, 33, 3, 2
2021/5/4, 23, 15, 32, 2, 2
2021/5/5, 23, 8, 30, 6, 2
2021/5/6, 29, 7, 34, 4, 2
2021/5/7, 26, 13, 26, 6, 2
2021/5/8, 46, 11, 35, 3, 2
2021/5/9, 35, 8, 32, 4, 2
2021/5/10, 27, 13, 20, 8, 2
2021/5/11, 40, 13, 36, 5, 2
2021/5/12, 30, 11, 39, 3, 2
2021/5/13, 35, 10, 31, 4, 2
2021/5/14, 39, 12, 31, 4, 2
2021/5/15, 34, 10, 31, 3, 2
2021/5/16, 31, 7, 32, 5, 2
2021/5/17, 28, 10, 34, 5, 2
2021/5/18, 30, 10, 30, 9, 3
2021/5/19, 35, 13, 33, 6, 2
2021/5/20, 46, 17, 33, 1, 2
2021/5/21, 29, 9, 32, 2, 2
2021/5/22, 21, 9, 35, 3, 2
2021/5/23, 24, 3, 29, 2, 2
2021/5/24, 16, 7, 32, 4, 2
2021/5/25, 24, 9, 33, 5, 2
2021/5/26, 25, 13, 29, 4, 2
2021/5/27, 31, 10, 33, 5, 2
2021/5/28, 26, 9, 36, 2, 2
2021/5/29, 33, 14, 37, 2, 2
2021/5/30, 44, 14, 38, 5, 2
2021/5/31, 45, 11, 48, 6, 3
2021/6/1, 33, 17, 58, 5, 5
2021/6/2, 49, 19, 45, 7, 3
2021/6/3, 58, 22, 51, 9, 2
2021/6/4, 61, 21, 36, 7, 2
2021/6/5, 72, 9, 35, 3, 2
2021/6/6, 31, 10, 42, 5, 2
2021/6/7, 30, 10, 47, 3, 2
2021/6/8, 34, 11, 39, 6, 2
2021/6/9, 41, 12, 31, 7, 2
2021/6/10, 40, 15, 28, 7, 2
2021/6/11, 50, 12, 27, 5, 2
2021/6/12, 28, 15, 34, 6, 2
2021/6/13, 37, 19, 57, 6, 3
2021/6/14, 43, 19, 36, 2, 2
2021/6/16, 52, 21, 52, 6, 3
2021/6/17, 59, 17, 46, 5, 2
2021/6/18, 64, 10, 26, 3, 2
2021/6/19, 40, 6, 36, 2, 2
2021/6/20, 26, 6, 30, 2, 2
2021/6/21, 20, 14, 29, 2, 2
2021/6/22, 38, 13, 30, 3, 2
2021/6/23, 25, 11, 31, 5, 2
2021/6/24, 28, 16, 20, 7, 2
2021/6/25, 49, 12, 35, 3, 3
2021/6/26, 52, 18, 38, 3, 2
2021/6/27, 67, 13, 25, 6, 2
2021/6/28, 48, 14, 21, 6, 2
2021/6/29, 39, 8, 23, 6, 2
2021/6/30, 28, 20, 26, 3, 2
2021/1/4, 17, 5, 12, 5, 2
2021/1/5, 17, 10, 11, 9, 3
2021/1/6, 27, 5, 14, 10, 2
2021/1/7, 16, 6, 6, 11, 3
2021/1/8, 20, 13, 17, 18, 3
2021/1/9, 33, 13, 17, 14, 2
2021/1/10, 39, 16, 23, 9, 1
2021/1/11, 43, 10, 24, 9, 2
2021/1/12, 15, 12, 27, 6, 2
2021/1/13, 18, 11, 17, 7, 2
2021/1/14, 23, 20, 13, 16, 4
2021/1/15, 46, 19, 12, 13, 3
2021/1/16, 53, 19, 21, 11, 3
2021/1/17, 50, 15, 21, 8, 2
2021/1/18, 26, 9, 24, 5, 2
2021/1/19, 26, 9, 26, 6, 2
2021/1/20, 30, 7, 28, 4, 2
2021/1/21, 21, 11, 24, 9, 2
2021/1/22, 23, 12, 21, 11, 2
2021/1/23, 38, 10, 22, 9, 2
2021/1/24, 28, 18, 27, 11, 2
2021/1/25, 52, 11, 26, 10, 2
2021/1/26, 19, 14, 19, 10, 2
2021/1/27, 34, 7, 14, 9, 2
2021/1/28, 20, 12, 24, 8, 2
2021/1/29, 32, 8, 21, 4, 2
2021/1/30, 25, 15, 16, 6, 2
2021/1/31, 56, 22, 12, 11, 3
2021/2/1, 71, 18, 19, 14, 3
2021/2/2, 56, 12, 22, 11, 2
2021/2/3, 20, 20, 19, 13, 2
2021/2/4, 41, 24, 9, 14, 3
2021/2/5, 67, 20, 21, 7, 3
2021/2/6, 66, 11, 28, 2, 2
2021/2/7, 30, 11, 29, 4, 2
2021/2/8, 26, 9, 25, 7, 2
2021/2/9, 23, 8, 25, 7, 2
2021/2/10, 23, 13, 28, 10, 2
2021/2/11, 35, 18, 26, 8, 
2021/2/12, 53, 14, 28, 7, 
2021/2/13, 41, 13, 25, 7, 
2021/2/14, 36, 15, 23, 10, 
2021/2/15, 44, 17, 16, 13, 2
2021/2/16, 49, 18, 28, 9, 2
2021/2/17, 35, 10, 26, 7, 2
2021/2/18, 24, 14, 22, 9, 2
2021/2/19, 31, 23, 25, 4, 2
2021/2/20, 47, 20, 26, 6, 2
2021/2/21, 48, 22, 21, 10, 2
2021/2/22, 47, 36, 20, 9, 2
2021/2/23, 61, 21, 25, 8, 2
2021/2/24, 40, 35, 18, 13, 2
2021/2/25, 61, 21, 24, 13, 2
2021/2/26, 38, 23, 17, 14, 2
2021/2/27, 53, 16, 24, 9, 2
2021/2/28, 42, 14, 21, 5, 2
