date, pm25, pm10, o3, no2, co
2024/4/30, 26, 26, 32, 11, 3
2024/5/1, 60, 27, 37, 10, 2
2024/5/2, 66, 19, 30, 8, 2
2024/5/3, 52, 11, 33, 5, 2
2024/5/4, 35, 6, 41, 3, 2
2024/5/5, 19, 11, 41, 3, 2
2024/5/6, 36, 11, 40, 4, 2
2024/5/7, 40, 11, 31, 5, 2
2024/5/8, 33, 17, 37, 8, 2
2024/5/9, 57, 19, 39, 9, 2
2024/5/10, 58, 11, 41, 3, 2
2024/5/11, 40, 14, 54, 2, 2
2024/5/12, 43, 15, 40, 4, 3
2024/5/13, 41, 14, 48, 4, 3
2024/5/14, 43, 12, 29, 11, 3
2024/5/15, 41, 16, 37, 8, 2
2024/5/16, 47, 17, 35, 9, 3
2024/5/17, 56, 24, 44, 7, 2
2024/5/18, 55, 22, 48, 6, 2
2024/5/19, 49, 17, 35, 3, 2
2024/5/20, 41, 11, 42, 4, 2
2024/5/21, 39, 10, 38, 5, 2
2024/5/22, 32, 13, 33, 3, 2
2024/5/23, 30, 17, 29, 8, 2
2024/5/24, 50, 9, 33, 4, 2
2024/5/25, 36, 9, 33, 4, 2
2024/5/26, 39, 12, 37, 4, 2
2024/5/27, 29, 11, 35, 4, 2
2024/5/28, 32, 8, 32, 3, 2
2024/5/29, 20, 12, 33, 5, 2
2024/5/30, 23, 10, 36, 3, 2
2024/5/31, 22, 22, 29, 3, 2
2024/6/1, 46, 20, 39, 2, 2
2024/6/2, 46, 15, 31, 4, 2
2024/6/3, 24, 18, 31, 6, 2
2024/6/5, 26, 19, 30, 5, 
2024/6/6, 53, 19, 33, 9, 
2024/6/7, 46, 14, 29, 12, 1
2024/6/8, 40, 12, 30, 11, 
2024/6/9, 24, 8, 28, 7, 2
2024/6/10, 17, 11, 29, 3, 1
2024/6/11, 13, 9, 29, 4, 2
2024/6/12, 17, 14, 38, 4, 2
2024/6/13, 32, 10, 26, 4, 2
2024/6/14, 20, 8, 30, 3, 2
2024/6/15, 17, 8, 32, 2, 2
2024/6/16, 14, 13, 34, 4, 2
2024/6/17, 18, 10, 26, 7, 2
2024/6/18, 24, 11, 33, 3, 1
2024/6/19, 19, 10, 33, 3, 1
2024/6/20, 24, 13, 31, 6, 2
2024/6/21, 28, 14, 33, 3, 1
2024/6/22, 29, 12, 36, 6, 1
2024/6/23, 35, 13, 45, 4, 2
2024/6/24, 37, 13, 51, 4, 2
2024/6/25, 35, 17, 53, 3, 2
2024/6/26, 41, 19, 61, 6, 2
2024/6/27, 46, 17, 32, 2, 1
2024/6/28, 23, 18, 44, 5, 2
2024/6/29, 31, 12, 32, 3, 2
2024/6/30, 20, 11, 29, 3, 1
2024/1/1, 42, 9, , 6, 2
2024/1/2, 20, 15, , 4, 2
2024/1/3, 33, 9, , 10, 3
2024/1/4, 23, 8, , 7, 2
2024/1/5, 26, 10, , 4, 2
2024/1/6, 33, 12, , 3, 2
2024/1/7, 44, 14, , 3, 2
2024/1/8, 37, 13, , 5, 2
2024/1/9, 39, 18, , 10, 2
2024/1/10, 52, 30, , 18, 3
2024/1/11, 75, 16, , 13, 3
2024/1/12, 38, 11, , 6, 2
2024/1/13, 27, 10, , 5, 2
2024/1/14, 20, 11, , 7, 2
2024/1/15, 18, 11, , 9, 2
2024/1/16, 23, 26, , 20, 4
2024/1/17, 70, 14, , 20, 3
2024/1/18, 31, 14, , 12, 2
2024/1/19, 30, 24, , 13, 3
2024/1/20, 68, 17, , 6, 2
2024/1/21, 52, 17, , 3, 3
2024/1/22, 34, 21, , 5, 
2024/1/23, 40, 26, , 3, 2
2024/1/24, 45, 28, , 15, 2
2024/1/25, 52, 16, , 4, 2
2024/1/26, 35, 24, , 16, 2
2024/1/27, 48, 22, , 12, 3
2024/1/28, 57, 23, , 15, 3
2024/1/29, 62, 16, , 9, 3
2024/1/30, 38, 13, , 7, 2
2024/1/31, 31, 24, , 8, 2
2024/2/1, 31, 22, , 7, 2
2024/2/2, 42, 14, , 6, 2
2024/2/3, 28, 12, , 5, 2
2024/2/4, 26, 29, , 4, 2
2024/2/5, 49, 24, , 3, 2
2024/2/6, 45, 15, 17, 7, 1
2024/2/7, 27, 14, 20, 12, 2
2024/2/8, 34, 10, 20, 6, 2
2024/2/9, 26, 11, 14, 7, 2
2024/2/10, 33, 15, 18, 8, 3
2024/2/11, 43, 14, 20, 8, 3
2024/2/12, 30, 15, 22, 11, 2
2024/2/13, 41, 8, 20, 6, 2
2024/2/14, 28, 10, 17, 8, 2
2024/2/15, 31, 10, 17, 9, 3
2024/2/16, 32, 15, 21, 8, 2
2024/2/17, 35, 12, 23, 4, 2
2024/2/18, 27, 18, 21, 8, 2
2024/2/19, 32, 21, 24, 10, 2
2024/2/20, 41, 14, 22, 5, 2
2024/2/21, 33, 9, 33, 5, 2
2024/2/22, 15, 10, 28, 3, 2
2024/2/23, 20, 8, 23, 5, 2
2024/2/24, 31, 9, 25, 4, 2
2024/2/25, 35, 8, 23, 3, 2
2024/2/26, 32, 12, 21, 9, 2
2024/2/27, 32, 21, 19, 14, 3
2024/2/28, 54, 11, 19, 6, 3
2024/2/29, 39, 8, 26, 4, 2
2024/3/1, 22, 6, 32, 2, 2
2024/3/2, 19, 12, 22, 7, 3
2024/3/3, 31, 9, 28, 6, 2
2024/3/4, 20, 25, 16, 16, 3
2024/3/5, 71, 25, 23, 11, 3
2024/3/6, 73, 29, 20, 7, 2
2024/3/7, 74, 27, 26, 5, 3
2024/3/8, 75, 25, 23, 11, 3
2024/3/9, 70, 25, 20, 10, 3
2024/3/10, 72, 29, 16, 12, 3
2024/3/11, 80, 27, 19, 9, 3
2024/3/12, 70, 12, 24, 6, 2
2024/3/13, 30, 10, 23, 5, 2
2024/3/14, 34, 15, 30, 5, 2
2024/3/15, 33, 13, 30, 4, 2
2024/3/16, 30, 16, 21, 6, 3
2024/3/17, 47, 16, 29, 7, 2
2024/3/18, 39, 13, 28, 10, 2
2024/3/19, 37, 18, 19, 16, 3
2024/3/20, 46, 14, 25, 9, 2
2024/3/21, 38, 22, 22, 8, 2
2024/3/22, 51, 14, 31, 3, 2
